% Information about position of straw tubes is kept in separate file wires.arff, it has 4482 lines with following information:
% 
% wire_id - zero-based index of straw tubes
% wire_rho - distance to stopping target
% wire_phi - phi angle in the plane perpendicular to beam
% 
@RELATION "COMET wires"

@ATTRIBUTE wire_id INTEGER
@ATTRIBUTE wire_rho REAL
@ATTRIBUTE wire_phi REAL

@DATA
0.0,53.0,0.0
1.0,53.0,0.0317332591272
2.0,53.0,0.0634665182543
3.0,53.0,0.0951997773815
4.0,53.0,0.126933036509
5.0,53.0,0.158666295636
6.0,53.0,0.190399554763
7.0,53.0,0.22213281389
8.0,53.0,0.253866073017
9.0,53.0,0.285599332145
10.0,53.0,0.317332591272
11.0,53.0,0.349065850399
12.0,53.0,0.380799109526
13.0,53.0,0.412532368653
14.0,53.0,0.44426562778
15.0,53.0,0.475998886908
16.0,53.0,0.507732146035
17.0,53.0,0.539465405162
18.0,53.0,0.571198664289
19.0,53.0,0.602931923416
20.0,53.0,0.634665182543
21.0,53.0,0.666398441671
22.0,53.0,0.698131700798
23.0,53.0,0.729864959925
24.0,53.0,0.761598219052
25.0,53.0,0.793331478179
26.0,53.0,0.825064737306
27.0,53.0,0.856797996434
28.0,53.0,0.888531255561
29.0,53.0,0.920264514688
30.0,53.0,0.951997773815
31.0,53.0,0.983731032942
32.0,53.0,1.01546429207
33.0,53.0,1.0471975512
34.0,53.0,1.07893081032
35.0,53.0,1.11066406945
36.0,53.0,1.14239732858
37.0,53.0,1.17413058771
38.0,53.0,1.20586384683
39.0,53.0,1.23759710596
40.0,53.0,1.26933036509
41.0,53.0,1.30106362421
42.0,53.0,1.33279688334
43.0,53.0,1.36453014247
44.0,53.0,1.3962634016
45.0,53.0,1.42799666072
46.0,53.0,1.45972991985
47.0,53.0,1.49146317898
48.0,53.0,1.5231964381
49.0,53.0,1.55492969723
50.0,53.0,1.58666295636
51.0,53.0,1.61839621549
52.0,53.0,1.65012947461
53.0,53.0,1.68186273374
54.0,53.0,1.71359599287
55.0,53.0,1.74532925199
56.0,53.0,1.77706251112
57.0,53.0,1.80879577025
58.0,53.0,1.84052902938
59.0,53.0,1.8722622885
60.0,53.0,1.90399554763
61.0,53.0,1.93572880676
62.0,53.0,1.96746206588
63.0,53.0,1.99919532501
64.0,53.0,2.03092858414
65.0,53.0,2.06266184327
66.0,53.0,2.09439510239
67.0,53.0,2.12612836152
68.0,53.0,2.15786162065
69.0,53.0,2.18959487977
70.0,53.0,2.2213281389
71.0,53.0,2.25306139803
72.0,53.0,2.28479465716
73.0,53.0,2.31652791628
74.0,53.0,2.34826117541
75.0,53.0,2.37999443454
76.0,53.0,2.41172769366
77.0,53.0,2.44346095279
78.0,53.0,2.47519421192
79.0,53.0,2.50692747105
80.0,53.0,2.53866073017
81.0,53.0,2.5703939893
82.0,53.0,2.60212724843
83.0,53.0,2.63386050756
84.0,53.0,2.66559376668
85.0,53.0,2.69732702581
86.0,53.0,2.72906028494
87.0,53.0,2.76079354406
88.0,53.0,2.79252680319
89.0,53.0,2.82426006232
90.0,53.0,2.85599332145
91.0,53.0,2.88772658057
92.0,53.0,2.9194598397
93.0,53.0,2.95119309883
94.0,53.0,2.98292635795
95.0,53.0,3.01465961708
96.0,53.0,3.04639287621
97.0,53.0,3.07812613534
98.0,53.0,3.10985939446
99.0,53.0,3.14159265359
100.0,53.0,3.17332591272
101.0,53.0,3.20505917184
102.0,53.0,3.23679243097
103.0,53.0,3.2685256901
104.0,53.0,3.30025894923
105.0,53.0,3.33199220835
106.0,53.0,3.36372546748
107.0,53.0,3.39545872661
108.0,53.0,3.42719198573
109.0,53.0,3.45892524486
110.0,53.0,3.49065850399
111.0,53.0,3.52239176312
112.0,53.0,3.55412502224
113.0,53.0,3.58585828137
114.0,53.0,3.6175915405
115.0,53.0,3.64932479962
116.0,53.0,3.68105805875
117.0,53.0,3.71279131788
118.0,53.0,3.74452457701
119.0,53.0,3.77625783613
120.0,53.0,3.80799109526
121.0,53.0,3.83972435439
122.0,53.0,3.87145761351
123.0,53.0,3.90319087264
124.0,53.0,3.93492413177
125.0,53.0,3.9666573909
126.0,53.0,3.99839065002
127.0,53.0,4.03012390915
128.0,53.0,4.06185716828
129.0,53.0,4.0935904274
130.0,53.0,4.12532368653
131.0,53.0,4.15705694566
132.0,53.0,4.18879020479
133.0,53.0,4.22052346391
134.0,53.0,4.25225672304
135.0,53.0,4.28398998217
136.0,53.0,4.3157232413
137.0,53.0,4.34745650042
138.0,53.0,4.37918975955
139.0,53.0,4.41092301868
140.0,53.0,4.4426562778
141.0,53.0,4.47438953693
142.0,53.0,4.50612279606
143.0,53.0,4.53785605519
144.0,53.0,4.56958931431
145.0,53.0,4.60132257344
146.0,53.0,4.63305583257
147.0,53.0,4.66478909169
148.0,53.0,4.69652235082
149.0,53.0,4.72825560995
150.0,53.0,4.75998886908
151.0,53.0,4.7917221282
152.0,53.0,4.82345538733
153.0,53.0,4.85518864646
154.0,53.0,4.88692190558
155.0,53.0,4.91865516471
156.0,53.0,4.95038842384
157.0,53.0,4.98212168297
158.0,53.0,5.01385494209
159.0,53.0,5.04558820122
160.0,53.0,5.07732146035
161.0,53.0,5.10905471947
162.0,53.0,5.1407879786
163.0,53.0,5.17252123773
164.0,53.0,5.20425449686
165.0,53.0,5.23598775598
166.0,53.0,5.26772101511
167.0,53.0,5.29945427424
168.0,53.0,5.33118753336
169.0,53.0,5.36292079249
170.0,53.0,5.39465405162
171.0,53.0,5.42638731075
172.0,53.0,5.45812056987
173.0,53.0,5.489853829
174.0,53.0,5.52158708813
175.0,53.0,5.55332034725
176.0,53.0,5.58505360638
177.0,53.0,5.61678686551
178.0,53.0,5.64852012464
179.0,53.0,5.68025338376
180.0,53.0,5.71198664289
181.0,53.0,5.74371990202
182.0,53.0,5.77545316114
183.0,53.0,5.80718642027
184.0,53.0,5.8389196794
185.0,53.0,5.87065293853
186.0,53.0,5.90238619765
187.0,53.0,5.93411945678
188.0,53.0,5.96585271591
189.0,53.0,5.99758597504
190.0,53.0,6.02931923416
191.0,53.0,6.06105249329
192.0,53.0,6.09278575242
193.0,53.0,6.12451901154
194.0,53.0,6.15625227067
195.0,53.0,6.1879855298
196.0,53.0,6.21971878893
197.0,53.0,6.25145204805
198.0,54.6,0.015867
199.0,54.6,0.0466669279764
200.0,54.6,0.0774668559527
201.0,54.6,0.108266783929
202.0,54.6,0.139066711905
203.0,54.6,0.169866639882
204.0,54.6,0.200666567858
205.0,54.6,0.231466495835
206.0,54.6,0.262266423811
207.0,54.6,0.293066351787
208.0,54.6,0.323866279764
209.0,54.6,0.35466620774
210.0,54.6,0.385466135716
211.0,54.6,0.416266063693
212.0,54.6,0.447065991669
213.0,54.6,0.477865919646
214.0,54.6,0.508665847622
215.0,54.6,0.539465775598
216.0,54.6,0.570265703575
217.0,54.6,0.601065631551
218.0,54.6,0.631865559527
219.0,54.6,0.662665487504
220.0,54.6,0.69346541548
221.0,54.6,0.724265343457
222.0,54.6,0.755065271433
223.0,54.6,0.785865199409
224.0,54.6,0.816665127386
225.0,54.6,0.847465055362
226.0,54.6,0.878264983338
227.0,54.6,0.909064911315
228.0,54.6,0.939864839291
229.0,54.6,0.970664767267
230.0,54.6,1.00146469524
231.0,54.6,1.03226462322
232.0,54.6,1.0630645512
233.0,54.6,1.09386447917
234.0,54.6,1.12466440715
235.0,54.6,1.15546433513
236.0,54.6,1.1862642631
237.0,54.6,1.21706419108
238.0,54.6,1.24786411905
239.0,54.6,1.27866404703
240.0,54.6,1.30946397501
241.0,54.6,1.34026390298
242.0,54.6,1.37106383096
243.0,54.6,1.40186375894
244.0,54.6,1.43266368691
245.0,54.6,1.46346361489
246.0,54.6,1.49426354287
247.0,54.6,1.52506347084
248.0,54.6,1.55586339882
249.0,54.6,1.58666332679
250.0,54.6,1.61746325477
251.0,54.6,1.64826318275
252.0,54.6,1.67906311072
253.0,54.6,1.7098630387
254.0,54.6,1.74066296668
255.0,54.6,1.77146289465
256.0,54.6,1.80226282263
257.0,54.6,1.83306275061
